.00079350,  100,.01522684,   10
    0.272727E+00   -0.454545E+00   -0.636364E+00    0.148923E+02
    0.454545E+00   -0.454545E+00   -0.636364E+00    0.153343E+02
    0.636364E+00   -0.454545E+00   -0.636364E+00    0.162554E+02
    0.818182E+00   -0.454545E+00   -0.636364E+00    0.178061E+02
    0.100000E+01   -0.454545E+00   -0.636364E+00    0.200000E+02

   -0.100000E+01   -0.272727E+00   -0.636364E+00    0.200000E+02
   -0.818182E+00   -0.272727E+00   -0.636364E+00    0.193880E+02
   -0.636364E+00   -0.272727E+00   -0.636364E+00    0.187244E+02
   -0.454545E+00   -0.272727E+00   -0.636364E+00    0.180156E+02
   -0.272727E+00   -0.272727E+00   -0.636364E+00    0.173156E+02
   -0.909091E-01   -0.272727E+00   -0.636364E+00    0.168403E+02
    0.909091E-01   -0.272727E+00   -0.636364E+00    0.166387E+02
    0.272727E+00   -0.272727E+00   -0.636364E+00    0.167097E+02
    0.454545E+00   -0.272727E+00   -0.636364E+00    0.170630E+02
    0.636364E+00   -0.272727E+00   -0.636364E+00    0.177298E+02
    0.818182E+00   -0.272727E+00   -0.636364E+00    0.187324E+02
    0.100000E+01   -0.272727E+00   -0.636364E+00    0.200000E+02

   -0.100000E+01   -0.909091E-01   -0.636364E+00    0.200000E+02
   -0.818182E+00   -0.909091E-01   -0.636364E+00    0.195311E+02
   -0.636364E+00   -0.909091E-01   -0.636364E+00    0.190554E+02
   -0.454545E+00   -0.909091E-01   -0.636364E+00    0.185879E+02
   -0.272727E+00   -0.909091E-01   -0.636364E+00    0.181713E+02
   -0.909091E-01   -0.909091E-01   -0.636364E+00    0.178855E+02
    0.909091E-01   -0.909091E-01   -0.636364E+00    0.177712E+02
    0.272727E+00   -0.909091E-01   -0.636364E+00    0.178428E+02
    0.454545E+00   -0.909091E-01   -0.636364E+00    0.181086E+02
    0.636364E+00   -0.909091E-01   -0.636364E+00    0.185735E+02
    0.818182E+00   -0.909091E-01   -0.636364E+00    0.192244E+02
    0.100000E+01   -0.909091E-01   -0.636364E+00    0.200000E+02

   -0.100000E+01    0.909091E-01   -0.636364E+00    0.200000E+02
   -0.818182E+00    0.909091E-01   -0.636364E+00    0.196551E+02
   -0.636364E+00    0.909091E-01   -0.636364E+00    0.193178E+02
   -0.454545E+00    0.909091E-01   -0.636364E+00    0.190040E+02
   -0.272727E+00    0.909091E-01   -0.636364E+00    0.187414E+02
   -0.909091E-01    0.909091E-01   -0.636364E+00    0.185665E+02
    0.909091E-01    0.909091E-01   -0.636364E+00    0.185045E+02
    0.272727E+00    0.909091E-01   -0.636364E+00    0.185680E+02
    0.454545E+00    0.909091E-01   -0.636364E+00    0.187613E+02
    0.636364E+00    0.909091E-01   -0.636364E+00    0.190806E+02
    0.818182E+00    0.909091E-01   -0.636364E+00    0.195076E+02
    0.100000E+01    0.909091E-01   -0.636364E+00    0.200000E+02

   -0.100000E+01    0.272727E+00   -0.636364E+00    0.200000E+02
   -0.818182E+00    0.272727E+00   -0.636364E+00    0.197544E+02
   -0.636364E+00    0.272727E+00   -0.636364E+00    0.195193E+02
   -0.454545E+00    0.272727E+00   -0.636364E+00    0.193082E+02
   -0.272727E+00    0.272727E+00   -0.636364E+00    0.191386E+02
   -0.909091E-01    0.272727E+00   -0.636364E+00    0.190301E+02
    0.909091E-01    0.272727E+00   -0.636364E+00    0.189973E+02
